ID,Severity,Area,Problem,Evidence,Affected URLs/count,Root cause,Exact fix,Effort,Expected impact,Dependency,Owner type,Status
FR-001,P1,Organic traffic / GSC,"BLOCKED_EXTERNAL 2026-09-08: REAL GSC still 8 clicks / ~115k imp / pos~74 (through 2026-08-13). Architecture+Lane A tooling ready; traffic conversion waits on fresh GSC + deploy + authority + ranking time. Do not invent clicks.",data/seo/growth-dashboard.json organicSearch; docs/seo/MEASUREMENT-CLOSURE-2026-09-08.md,995 pages with impressions; 7 with clicks,Depth rankings + weak CTR + stale measurement + authority gap,Import fresh GSC; Lane A improve/promote; deploy; earn links — never fabricate traffic,L,Unlock impressions→clicks conversion,Fresh GSC export; deploy; time,editorial+seo,blocked_external
FR-002,P1,Content uniqueness,"IN_PROGRESS 2026-09-08: 3×50 factory waves (150 pages). W1: +23 mat / 0 promo; W2: +19 / 0; W3: +25 / 0 / semanticFail 16 / Δq +0.12. ~1056 factory IMPROVE remain. No mass-delete. CLI: seo:factory-pack-wave",data/seo/batches/factory-pack-2026-09-08*; docs/seo/FACTORY-PACK-WAVE-2026-09-08*.md,~1056 IMPROVE factory packs remain,Programmatic product packs not unique enough for search,Continue PRESERVE→IMPROVE waves of 50; promote only after semantic QA,XL,Reduce template risk; enable safe promotions,enrichment capacity,editorial,in_progress
FR-003,P1,Evidence / credibility,"IN_PROGRESS 2026-09-08: DATA_VERIFIED reconcile 29→61→85; HANDS_ON 0. Two live evidence waves (+32 then +24). Top-10 human packs prepared (drafts NOT_STARTED). Hands-on blocked on human tester. CLI: seo:evidence-wave-50; testing:prepare-top-10",docs/seo/EVIDENCE-WAVE-50-2026-09-08.md; docs/editorial/HANDS-ON-TESTING-WAVE-TOP-10-2026-09-08.md; reconcile accepted≈85,315 software; HANDS_ON=0,Live vendor gaps + no completed ProductTestSession,Continue evidence waves; human finish top-10 sessions; never fabricate HANDS_ON,L,Trust + ranking quality,human testers,editorial,in_progress
FR-004,P1,Authority,"BLOCKED_EXTERNAL 2026-09-08: no REAL Ahrefs/Semrush file under data/seo/imports/; fixture rejection enforced; referring domains NOT_CONNECTED.",docs/seo/MEASUREMENT-CLOSURE-2026-09-08.md; link-opportunities exportAvailable=false,sitewide,No REAL backlink export,Drop REAL CSV; seo:link-opportunities; never invent RDs,M,Authority → rankings,export + outreach,growth,blocked_external
FR-005,P1,Data freshness,"BLOCKED_EXTERNAL 2026-09-08: latest REAL Performance+Coverage still through 2026-08-13. Prior archived; trend NOT_CONNECTED; DIRECT_GSC=0 without page×query. Pipelines re-ran on available export.",docs/seo/MEASUREMENT-CLOSURE-2026-09-08.md; data/seo/archives/gsc/,all opportunity reporting,No newer GSC export on disk,Re-export Performance+Coverage+page×query weekly,S,Trustworthy before/after,GSC access,seo-ops,blocked_external
FR-006,P1,Engineering quality,"RESOLVED 2026-09-08: re-verified — tsc 0; vitest 1484/1484; lint 0 errors/102 warn; build PASS 13653 pages; FULL SEO P0=0 P1=0 P2=1. CI: engineering-quality.yml",npx tsc; vitest; lint; build; seo:audit; migration:seo-audit,CI confidence,Prior TS/test debt,Keep CI gates green on every PR,L,Safer deploys,eng time,engineering,resolved
FR-007,P2,Indexable quality,"RESOLVED 2026-09-08: INDEXABLE guides editorial_completeness 66→0; hero required; canvas-score demoted.",guides-audit; fr007 post-remediation-verify,0 hard EC fails,Promotion ahead of completeness,Keep hard gates,M,Protect index quality,editorial,editorial+engineering,resolved
FR-008,P2,Comparisons,"IN_PROGRESS 2026-09-08: rehab cumulative ~324 promotions from prior waves. Extra --limit 50 attempt reused frozen 200 selection and was aborted (disk/time). INDEXABLE_READY=0; IMPROVE remain. Promote only after relationship+semantic+link gates.",data/seo/batches/compare-rehab-200-*; docs/seo/COMPARE-REHAB-200-*.md,~IMPROVE compares remain,Weak buyer-overlap pairs,Continue Lane A/B enrich with --refresh-selection; keep weak IMPROVE,L,Safer compare index set,enrichment,editorial,in_progress
FR-009,P2,Internal linking,"RESOLVED 2026-09-08: authority-flow; indexable orphan detector 0; structural hubs linked.",docs/seo/FR009-AUTHORITY-FLOW-2026-09-08.md,indexable orphans 0,Hub inbound gaps,Maintain seeds; no mass-link long-tail IMPROVE,M,Hub discoverability,KG,seo,resolved
FR-010,P2,Commercial measurement,"IN_PROGRESS 2026-09-08: first-party click store REAL (0 events until traffic). Conversions/revenue NOT_CONNECTED (never $0) — blocked on network export.",data/analytics/affiliate-clicks.json; affiliate-conversions.json,monetization loop,Network conversion not connected,Import network CSV via analytics:affiliate-conversions; production beacon traffic,M,Commercial proof,network export,growth,in_progress
FR-011,P2,AI visibility,"RESOLVED 2026-09-08: fixture AI Visibility forced to NOT_CONNECTED in growth dashboard (no citation metrics from sample). REAL export still required for REAL status.",src/services/seo/growth-dashboard/quality-authority.ts buildAiVisibilitySection; growth-dashboard.json,measurement,Sample CSV only,Import REAL AI Visibility export under data/seo/imports/,S,Honest reporting,export,seo-ops,resolved
FR-012,P2,Deploy lag / production parity,"BLOCKED_EXTERNAL 2026-09-08: local prod build/sitemaps healthy; www parity requires human deploy + live www validation.",prior remediation notes; local sitemapindex,crawl/indexation,Remediation ahead of live property,Deploy Next sitemap partitions; re-validate live www,S,Crawl efficiency in Google,deploy access,engineering,blocked_external
