# FIXTURE SNAPSHOT — structured from first-party research (2026-08-17)

SHORT_DESCRIPTION: ADP Workforce Now is ADP’s mid-to-enterprise HCM for payroll, tax filing, HR records, benefits, and optional time/talent modules. Industry coverage consistently describes three named packages — Select (payroll + core HR), Plus (benefits), Premium (time & workforce) — all contact-sales. First-party pages do not publish PEPM. Score as payroll-benefits landscape (compliance-scale), not a Gusto SMB award peer and not a Workday enterprise-HCM peer.
VENDOR_POSITIONING: Payroll and HR you can trust when compliance, tax, and scale are non-negotiable.
MEMBERSHIP_ROLE: primary
JOB_CLUSTER: payroll-benefits
FEATURE applicant-tracking: add-on
FEATURE career-site-job-boards: limited
FEATURE interview-scheduling: limited
FEATURE core-hris: supported
FEATURE payroll-processing: supported
FEATURE benefits-admin: add-on
FEATURE workforce-scheduling: add-on
FEATURE frontline-comms: limited
FEATURE time-attendance: add-on
FEATURE gps-geofence-clockin: limited
FEATURE sop-knowledge-base: limited
FEATURE employee-training-paths: limited
FEATURE lms-course-commerce: not-supported
FEATURE hris-integrations: supported
FEATURE analytics-reporting: supported
FEATURE ai-assistance: supported

AI assistant: limited
AI summaries: limited
AI automation: limited
AI recommendations: limited
