# FIXTURE SNAPSHOT — structured from first-party research (2026-08-17)

SHORT_DESCRIPTION: Synthesia is an AI avatar-presenter video studio for training, enablement, and on-brand explainers. Credits are the shared currency: Basic is free with 1,200 credits/month (~10 minutes) but keeps a logo and blocks MP4 download. Starter is $18/editor/mo billed annually ($29 monthly) with 14,500 credits/year (~120 minutes) and download/logo removal. Creator is $64/mo annual ($89 monthly) with 44,000 credits/year (~360 minutes), API, and interactive video. Enterprise is contact sales (SSO, SCORM, unlimited minutes). Distinct from Runway’s generative-clip studio — Synthesia is talking-head / L&D video, not text-to-shot filmmaking.
VENDOR_POSITIONING: Turn scripts into on-brand avatar videos without cameras — training and communications at scale.
MEMBERSHIP_ROLE: primary
JOB_CLUSTER: ai-video
FEATURE llm-chat: limited
FEATURE reasoning-models: not-supported
FEATURE writing-assist: limited
FEATURE image-generation: limited
FEATURE voice-tts: supported
FEATURE presentation-generation: limited
FEATURE website-generation: not-supported
FEATURE ad-creative-generation: limited
FEATURE agent-builder: not-supported
FEATURE custom-projects: supported
FEATURE enterprise-admin: higher-plan-only
FEATURE usage-credits: supported
FEATURE connectors: limited
FEATURE data-privacy: supported
FEATURE analytics-reporting: limited
FEATURE video-generation: supported
FEATURE code-assist: not-supported
FEATURE meeting-notes: not-supported

AI assistant: limited
AI summaries: not-supported
AI automation: limited
AI recommendations: limited
