# FIXTURE SNAPSHOT — structured from first-party research (2026-08-17)

SHORT_DESCRIPTION: Shopware is a Symfony-based open-source commerce platform. Community Edition is MIT-licensed and free, with a Fair Usage policy that expects a paid plan above about €1M GMV. Commercial SaaS/self-serve: Rise from €600/mo (~$660 USD); Evolve from €2400/mo; Beyond is quote-only. Landscape open-source peer — WooCommerce keeps the cluster award. Research grounded 2026-08-18 from shopware.com/en/pricing; EUR amounts converted approximately to USD.
VENDOR_POSITIONING: Composable commerce platform — open-source Community Edition plus Rise, Evolve, and Beyond for growing and enterprise brands.
MEMBERSHIP_ROLE: primary
JOB_CLUSTER: open-source-platform
FEATURE online-storefront: supported
FEATURE product-catalog: supported
FEATURE checkout-payments: supported
FEATURE order-management: supported
FEATURE inventory-management: supported
FEATURE shipping-fulfillment: supported
FEATURE pos-omnichannel: add-on
FEATURE marketplace-channels: add-on
FEATURE b2b-wholesale: supported
FEATURE marketing-automation: add-on
FEATURE analytics-reporting: supported
FEATURE ai-assistance: limited
FEATURE dropshipping-sourcing: add-on
FEATURE app-extensions: supported

AI assistant: limited
AI summaries: limited
AI automation: limited
AI recommendations: supported
