product,affiliate_url,status,programme,destination_type,network
accelerated-growth-studio,https://acceleratedgrowthstudio.partnerlinks.io/7q3b5o2oy7d7,active,Accelerated Growth Studio Affiliate,homepage,partnerstack
activecampaign,https://try.activecampaign.com/715whgqxs62u-rvs4jt,active,ActiveCampaign Affiliate,homepage,other
adcreative-ai,https://free-trial.adcreative.ai/az59uqmj4faf-96w1li,active,AdCreative.ai Affiliate,homepage,other
ai-intelekt,https://aiintelekt.partnerlinks.io/zp5r5hl99k9n,active,AI InteleKt Inc. Affiliate,homepage,partnerstack
aira,https://get.aira.app/jr1x15qg825e,active,Aira Affiliate,homepage,other
aircall,https://get.aircall.io/1iaj04fel1ok,active,Aircall.io Affiliate,homepage,other
alidrop,https://get.alidrop.co/ecisqr0fxqvj,active,AliDrop Affiliate,homepage,other
amplemarket,https://grow.amplemarket.com/3vxr5swrhqgj,active,Amplemarket Affiliate,homepage,other
apollo,https://get.apollo.io/z13ixmuq8z47,active,Apollo.io Affiliate,homepage,other
aweber,https://psjoin.aweber.com/6dw4eb19d1rc,active,AWeber Communications Affiliate,homepage,other
birch,https://join.bir.ch/zw76x2a5zsnp,active,Bïrch (formerly Revealbot) Affiliate,homepage,other
bookyourdata,https://join.bookyourdata.com/iyjf5ka4hj9j,active,BookYourData Affiliate,homepage,other
bolt-for-business,https://get.business.bolt.eu/jtecf94l0flr,active,Bolt for Business Affiliate,homepage,other
bouncer,https://withlove.usebouncer.com/7f96frxz2xmj,active,Bouncer Affiliate,homepage,other
brand24,https://try.brand24.com/nt5khme0rtcj,active,Brand24 Affiliate,homepage,other
breezy-hr,https://breezyhr.partnerlinks.io/2mnqgfqugfj2,active,Breezy HR Affiliate,homepage,partnerstack
bright-data,https://get.brightdata.com/egcchebrm7g5,active,Bright Data Affiliate,homepage,other
callhippo,https://join.callhippo.com/nmdfk28yy5a9,active,CallHippo Affiliate,homepage,other
campaign-monitor,https://partners.campaignmonitor.com/ezb6s7olowj1,active,Campaign Monitor by Marigold Affiliate,homepage,other
capsule,https://get.capsulenow.io/zs1cakqfksi6,active,Capsule and Transpond Affiliate,homepage,other
