# FIXTURE SNAPSHOT — structured from first-party research (2026-08-17)

SHORT_DESCRIPTION: Tiendanube is a LATAM-focused hosted ecommerce SaaS (also known as Nuvemshop in some markets — one SoftwareGlimpse page, aliases only). Argentina first-party planes-y-precios (2026-08-18 schema.org Offers): Inicial ARS $0, Esencial ARS $26.999/mo, Impulso ARS $78.999/mo, Escala ARS $234.999/mo, Evolución contact. 7-day trial on paid. Annual ~25% discount noted on page. USD schema amounts (~$20 / ~$59 / ~$174) use approximate FX ~1350 ARS/USD (medium confidence) — ARS is the source of truth. Landscape saas-platform peer — Shopify keeps the award (9.2). Research grounded 2026-08-18.
VENDOR_POSITIONING: Create your online store in Latin America — Tiendanube / Nuvemshop for SMB and growing merchants.
MEMBERSHIP_ROLE: primary
JOB_CLUSTER: saas-platform
FEATURE online-storefront: supported
FEATURE product-catalog: supported
FEATURE checkout-payments: supported
FEATURE order-management: supported
FEATURE inventory-management: supported
FEATURE shipping-fulfillment: supported
FEATURE pos-omnichannel: limited
FEATURE marketplace-channels: limited
FEATURE b2b-wholesale: limited
FEATURE marketing-automation: supported
FEATURE analytics-reporting: supported
FEATURE ai-assistance: limited
FEATURE dropshipping-sourcing: add-on
FEATURE app-extensions: supported

AI assistant: limited
AI summaries: limited
AI automation: limited
AI recommendations: limited
