# FIXTURE SNAPSHOT — structured from first-party research (2026-08-17)

SHORT_DESCRIPTION: Workday Human Capital Management is the enterprise shortlist default for global HR, payroll, talent, and analytics on one employee record. First-party pages are demo/quote-led: no published PEPM, free plan, or self-serve trial. Contracts are headcount- and module-stacked; implementation partners and multi-year terms dominate TCO. Score as enterprise-HCM landscape — not an SMB BambooHR or Gusto peer.
VENDOR_POSITIONING: The enterprise system of record that should run HR, finance, and planning on one cloud.
MEMBERSHIP_ROLE: primary
JOB_CLUSTER: enterprise-hcm
FEATURE applicant-tracking: supported
FEATURE career-site-job-boards: supported
FEATURE interview-scheduling: supported
FEATURE core-hris: supported
FEATURE payroll-processing: supported
FEATURE benefits-admin: supported
FEATURE workforce-scheduling: limited
FEATURE frontline-comms: limited
FEATURE time-attendance: supported
FEATURE gps-geofence-clockin: limited
FEATURE sop-knowledge-base: limited
FEATURE employee-training-paths: supported
FEATURE lms-course-commerce: not-supported
FEATURE hris-integrations: supported
FEATURE analytics-reporting: supported
FEATURE ai-assistance: supported

AI assistant: supported
AI summaries: supported
AI automation: supported
AI recommendations: supported
