project,priority,cost_metric,route_or_feature,file,current_behavior,root_cause,recommended_change,estimated_monthly_saving,implementation_effort,risk,confidence,status
softwareglimpse,P0,Fluid Active CPU,/software/[slug]/,src/app/(site)/software/[slug]/page.tsx,draftMode() in generateMetadata and page forces Fluid SSR of buildSoftwareReviewModel twice,Next 15 dynamic API on crawler-facing SSG routes,Remove draftMode from public routes; dedicated /preview path,$15-22,S,low,HIGH,open
softwareglimpse,P0,Fluid Active CPU,/software/[slug]/[tab]/,src/app/(site)/software/[slug]/[tab]/page.tsx,Same draftMode pattern on 9 tabs x 315 products,Tab URLs noindex but linked and not robots-disallowed,Client tabs or robots Disallow tab paths after overview is static,$included in draftMode row,M,medium,HIGH,open
softwareglimpse,P0,Fluid Active CPU,/guides/[slug]/,src/app/(site)/guides/[slug]/page.tsx,draftMode() + resolveGuide on ~589 sitemap guides,Dynamic HTML for educational crawl surface,Same as software overview,included in draftMode row,S,low,HIGH,open
softwareglimpse,P0,Build CPU Minutes,production main deploys,vercel.json (missing),7 Sep production builds avg 647s max 1218s on turbo machine,No ignoreCommand; ~13k page SSG; agent/main pushes,ignoreCommand; local next build; stop reverse-compare prerender,$12-18,S,low,HIGH,open
softwareglimpse,P1,Fast Origin Transfer,Blob media rewrites,next.config.ts,Guides/software media proxied through app to Blob; many unoptimized PNGs,afterFiles rewrite transits Vercel,Point img src at Blob public hostname,$3-6,M,low,HIGH,open
softwareglimpse,P1,ISR Reads,/search/?q=*,src/app/(site)/search/page.tsx,revalidate=3600 on unbounded query keys,ISR key explosion + crawlers,Do not ISR arbitrary q; client search or short CDN cache,$2-4,S,low,HIGH,open
softwareglimpse,P1,ISR Reads,sitemap/llms.txt,src/app/sitemap.xml/route.ts,Daily ISR rebuilds full URL inventory,revalidate 86400 plus max-age 3600 mismatch,Emit sitemap at build; TTL 7d,$0.5-1,S,low,HIGH,open
softwareglimpse,P1,Fluid Active CPU,/guides /compare /tools indexes,src/app/(site)/guides/page.tsx,await searchParams dynamizes sitemap hubs,Next 15 searchParams dynamic API,Static hub + client filters,$1-3,S,low,HIGH,open
softwareglimpse,P2,Build CPU Minutes,compare reverse slugs,src/app/(site)/compare/[slug]/page.tsx,Prerenders reverse vs slugs that redirect,Doubles compare SSG,Canonical slug only + redirect,$1-2,S,low,HIGH,open
softwareglimpse,P2,Observability Events,Web Analytics,src/components/site/consent-script.tsx,Analytics on every page plus invocation volume from dynamic HTML,Dynamic crawl surface,Fix draftMode first; sample analytics; preview off,$2-4,S,low,MEDIUM,open
softwareglimpse,P2,Edge Requests - Additional CPU Duration,trailingSlash + legacy redirects,next.config.ts,308/301 on slash and ~382 legacy rows,Config redirects not middleware,Keep; do not add middleware,$0.3-0.5,S,none,HIGH,open
kitletics,P0,Fluid Active CPU,/products/[slug],src/app/products/[slug]/page.tsx,force-dynamic + getRequestRegion() cookies(),Every Googlebot PDP is Node + catalog graph,ISR 86400 default region NL; client region,$5-10,M,medium,MEDIUM,open
kitletics,P0,Fluid Active CPU,/reviews/[slug],src/app/reviews/[slug]/page.tsx,force-dynamic + enrichReviewForPage at request,Highest per-URL HTML + 10-15 images,ISR + cache enrichment,included in PDP row,M,medium,MEDIUM,open
kitletics,P0,Fluid Active CPU,/best /brands /listings /finders,src/app/best/[slug]/page.tsx,force-dynamic + cookies on remaining catalog HTML,Same region-cookie pattern,ISR without cookies,included in PDP row,M,medium,HIGH,open
kitletics,P0,Build CPU Minutes,main production deploys,vercel.json (missing),16 production deploys in ~6 days; turbo after OOM; avg 266s max 740s,No ignoreCommand; generateStaticParams on force-dynamic still loads catalog,ignoreCommand; drop unused generateStaticParams; local typecheck,$5-8,S,low,HIGH,open
kitletics,P0,Image Optimization Transformation,/_next/image catalog+reviews,next.config.ts,10.9k sources; 16 Sep snapshot 54k transforms; hostname **,Optimizer + Blob + many section PNGs,Tighten remotePatterns; fewer imageSizes; stable URLs,$4-15 (caps ramp),M,low,MEDIUM,open
kitletics,P0,Edge Requests,/images/* middleware,src/middleware.ts,matcher includes /images/:path* Blob rewrite,Optimizer origin fetch hits Edge,Remove images from matcher; config rewrite or absolute Blob URL,$1-3 + allowance headroom,S,low,HIGH,open
kitletics,P1,Blob Data Transfer,kitletics-media store,scripts/upload-images-to-blob.ts,7.21GB store; transfer unattributed $2.20 MTD,Bytes hop app→Blob→optimizer→user,Direct Blob public URL as src,$2-4,M,low,MEDIUM,open
kitletics,P1,Observability Events,Speed Insights unsampled,src/app/layout.tsx,Analytics + SpeedInsights on every public page,Unsampled SI on image-heavy review pages,sampleRate 0.1 or off if GA covers CWV,$1-2,S,low,MEDIUM,open
kitletics,P1,Fluid Active CPU,/search,src/app/search/page.tsx,force-dynamic full catalog scan; noindex but robots allow,Bots can invoke search,robots Disallow /search; rate-limit action,$0.5-2,S,low,MEDIUM,open
kitletics,P1,ISR Writes,/ and indexes,src/app/page.tsx,revalidate 3600 on home/guides/brands/databases,Hourly tighter than content cadence,revalidate 86400 or on-demand tags,$0.2-0.5,S,low,HIGH,open
kitletics,P2,Fluid Provisioned Memory,catalog in serverless,src/repositories/products.ts,75MB src/content loaded in dynamic functions,Module-init graph,ISR so occupancy is revalidate-not-request; split JSON,$1-2,L,medium,MEDIUM,open
kitletics,P2,Function Invocations,/go/[offerId],src/app/go/[offerId]/route.ts,force-dynamic 302 no-store,Correct for affiliate hops,Keep; robots Disallow already,$0,S,none,HIGH,wontfix
lifeos-expatlife-web,P0,Build CPU Minutes,main production deploys,expatos/VERCEL.md,8 Sep deploys 50% ERROR; Aug avg build 950s,No ignoreCommand; retrying Vercel as compiler,ignoreCommand; local build before push,$4-8,S,low,HIGH,open
lifeos-expatlife-web,P1,Fluid Active CPU,NL guide tree ISR,apps/expatlife-web/lib/content-revalidate.ts,CONTENT_REVALIDATE=3600 on 381 files,Hourly ISR of evergreen guides,86400 or false,$1-3,S,low,MEDIUM,open
