# FIXTURE SNAPSHOT — structured from first-party research (2026-08-18)

SHORT_DESCRIPTION: Gorgias is an ecommerce-native helpdesk for Shopify, Magento, and BigCommerce support teams with order, refund, and customer context in the agent workspace. Ticket-based pricing (not per-agent): Starter $40/mo for 50 tickets; Basic $77/mo billed annually ($90/mo monthly). AI and automation features bundled into ticket tiers. Scored as ecommerce-helpdesk primary — not ranked against generic ITSM or live-chat-only peers.
VENDOR_POSITIONING: The ecommerce helpdesk — turn support into a profit center with order-aware agents, automations, and AI built for online stores.
MEMBERSHIP_ROLE: primary
JOB_CLUSTER: ecommerce-helpdesk
FEATURE ticketing: supported
FEATURE shared-inbox: supported
FEATURE live-chat: supported
FEATURE knowledge-base: supported
FEATURE omnichannel-inbox: supported
FEATURE sla-routing: supported
FEATURE macros-automation: supported
FEATURE self-service-portal: limited
FEATURE csat-surveys: supported
FEATURE helpdesk-reporting: supported
FEATURE ecommerce-helpdesk: supported
FEATURE itsm-service-desk: not-supported
FEATURE chatbot-ai-agent: supported
FEATURE agent-copilot: supported
FEATURE phone-support: not-supported
FEATURE helpdesk-integrations: supported

AI agent: supported
AI copilot: supported
AI deflection: supported
AI automation: bundled in ticket tiers
