# FIXTURE SNAPSHOT — structured from first-party research (2026-08-17)

SHORT_DESCRIPTION: Campaign Monitor (by Marigold) is a design-focused email marketing platform with drag-and-drop building, templates, segmentation, automation/journeys, AI writing/boost tools, analytics, and agency/multi-account features. Pricing is contact-tiered across Lite, Essentials, Premier, plus custom Enterprise; free trial is offered (no forever free plan published).
VENDOR_POSITIONING: Smarter email for a better bottom line — simple, powerful email for businesses and agencies; Marigold positions Campaign Monitor as the self-serve SMB/agency email product in its loyalty suite.
MEMBERSHIP_ROLE: primary
FEATURE email-campaigns: supported
FEATURE newsletter-builder: supported
FEATURE email-templates: supported
FEATURE drag-drop-editor: supported
FEATURE automation-workflows: supported
FEATURE segmentation: supported
FEATURE personalization: supported
FEATURE ab-testing: supported
FEATURE contact-management: supported
FEATURE landing-pages: limited
FEATURE forms: limited
FEATURE transactional-email: limited
FEATURE analytics: supported
FEATURE deliverability-tools: supported
FEATURE ai-content-generation: supported

AI email-generation: supported
AI recommendations: limited
AI assistant: limited
