# FIXTURE SNAPSHOT — structured from first-party research (2026-08-17)

SHORT_DESCRIPTION: Breezy HR is an applicant tracking system for recruiting pipelines, career sites, interview scheduling, and hiring collaboration. Free forever Bootstrap covers one active pool/position with unlimited users and candidates (last 30 days). Paid annual plans: Startup $157/mo, Growth $273/mo (most popular), Business $439/mo, plus Custom Pro. Monthly list is higher ($189 / $329 / $529). 14-day full trial. Add-ons include Breezy Intelligence credits, SMS, Onboard, and Perform.
VENDOR_POSITIONING: A modern ATS to attract, evaluate, and hire — pipelines, career pages, and collaborative hiring without enterprise HRIS complexity.
MEMBERSHIP_ROLE: primary
JOB_CLUSTER: ats-recruiting
FEATURE applicant-tracking: supported
FEATURE career-site-job-boards: supported
FEATURE interview-scheduling: supported
FEATURE workforce-scheduling: not-supported
FEATURE frontline-comms: not-supported
FEATURE time-attendance: not-supported
FEATURE gps-geofence-clockin: not-supported
FEATURE sop-knowledge-base: not-supported
FEATURE employee-training-paths: not-supported
FEATURE lms-course-commerce: not-supported
FEATURE hris-integrations: supported
FEATURE analytics-reporting: supported
FEATURE ai-assistance: add-on

AI assistant: add-on
AI summaries: add-on
AI automation: limited
AI recommendations: add-on
