name,primary_category,affiliate_url,product_slug,catalogue_source_id
"Accelerated Growth Studio","Marketing / Growth Services",https://acceleratedgrowthstudio.partnerlinks.io/7q3b5o2oy7d7,accelerated-growth-studio,aff-accelerated-growth-studio
"ActiveCampaign","Email Marketing / Marketing Automation",https://try.activecampaign.com/715whgqxs62u-rvs4jt,activecampaign,aff-activecampaign
"AdCreative.ai","AI Advertising / Creative Generation",https://free-trial.adcreative.ai/az59uqmj4faf-96w1li,adcreative-ai,aff-adcreative-ai
"AI InteleKt Inc.","AI Software",https://aiintelekt.partnerlinks.io/zp5r5hl99k9n,ai-intelekt,aff-ai-intelekt
"Aira","AI / Digital Accessibility",https://get.aira.app/jr1x15qg825e,aira,aff-aira
"Aircall.io","Business Phone / VoIP",https://get.aircall.io/1iaj04fel1ok,aircall,aff-aircall
"AliDrop","Dropshipping / Ecommerce",https://get.alidrop.co/ecisqr0fxqvj,alidrop,aff-alidrop
"Amplemarket","Sales Engagement",https://grow.amplemarket.com/3vxr5swrhqgj,amplemarket,aff-amplemarket
"Apollo.io","Sales Intelligence / Sales Engagement",https://get.apollo.io/z13ixmuq8z47,apollo,aff-apollo-io
"AWeber Communications","Email Marketing",https://psjoin.aweber.com/6dw4eb19d1rc,aweber,aff-aweber
"Bïrch (formerly Revealbot)","Advertising Automation",https://join.bir.ch/zw76x2a5zsnp,birch,aff-birch
"BookYourData","B2B Data / Lead Generation",https://join.bookyourdata.com/iyjf5ka4hj9j,bookyourdata,aff-bookyourdata
"Bolt for Business","Business Travel / Transportation",https://get.business.bolt.eu/jtecf94l0flr,bolt-for-business,aff-bolt-for-business
"Bouncer","Email Verification",https://withlove.usebouncer.com/7f96frxz2xmj,bouncer,aff-bouncer
"Brand24","Social Listening / Brand Monitoring",https://try.brand24.com/nt5khme0rtcj,brand24,aff-brand24
"Breezy HR","Applicant Tracking / Recruiting",https://breezyhr.partnerlinks.io/2mnqgfqugfj2,breezy-hr,aff-breezy-hr
"Bright Data","Proxy / Web Data Collection",https://get.brightdata.com/egcchebrm7g5,bright-data,aff-bright-data
"CallHippo","Business Phone / VoIP",https://join.callhippo.com/nmdfk28yy5a9,callhippo,aff-callhippo
"Campaign Monitor by Marigold","Email Marketing",https://partners.campaignmonitor.com/ezb6s7olowj1,campaign-monitor,aff-campaign-monitor
"Canvas Score by Roya.com","Marketing / Website Analytics",,canvas-score,
"Capsule and Transpond","CRM / Email Marketing",https://get.capsulenow.io/zs1cakqfksi6,capsule,aff-capsule-transpond
"Carepatron","Practice Management / Healthcare",https://get.carepatron.com/57qubyw3gk9y,carepatron,aff-carepatron
"ClickUp","Project Management / Work OS",https://try.web.clickup.com/q22d8kyvpi6i,clickup,aff-clickup
"Close","CRM / Sales Engagement",https://refer.close.com/s5a5kgl3dd92,close,aff-close
"Closely","Sales Engagement / Lead Generation",https://get.closelyhq.com/5hzvlqoo3sx7,closely,aff-closely
"Connecteam","Workforce Management / Employee Management",https://partners.connecteam.com/h77a37h9xngf,connecteam,aff-connecteam
"Contractor Foreman","Construction Management",https://try.contractorforeman.com/3bd4vk7j087f,contractor-foreman,aff-contractor-foreman
"Databox","Business Analytics / KPI Dashboards",https://join.databox.com/1yuo2tivgh97-5b1iq5,databox,aff-databox
"Dext","Accounting / Bookkeeping Automation",https://join.dext.com/bqu81rwyh2sr,dext,aff-dext
"Diginius","Digital Marketing / PPC Management",https://get.diginius.com/ora576t7vdve,diginius,aff-diginius
