ID,Previous severity,Current severity,Area,Status,Delta vs previous review,Previous evidence,Current evidence,Delta,Affected URLs/count,Root cause,Exact next fix,Effort,Expected impact,Dependency,Owner type,Register status
FR-001,P1,P1,Organic traffic / GSC,BLOCKED_EXTERNAL,UNCHANGED,Identical STALE window 2026-08-13; 8/115457/74.5; movement NOT_MEASURABLE,Still identical STALE 8/115457/74.5 through 2026-08-13; www architecture changed but GSC cannot prove rank/click lift,0,995 pages w/ impressions,Depth + stale measurement,Import fresh GSC Performance+Coverage+page×query; then Lane A CTR,L,Unlock clicks,Fresh GSC+time,editorial+seo,blocked_external
FR-002,P1,P1,Content uniqueness,IN_PROGRESS,IMPROVED_PARTIAL,factoryPackCount 1272; limitedUniqueAnalysisCount 1342 (−31 vs R3),factoryPackCount still 1272; limitedUnique 1326 (−16 vs R4); highNearDup 1328→1312; factory-100c promoted 10,0 packs / −16 limited unique,1272 factory packs,Programmatic packs,Continue IMPROVE+promote only with unique_analysis estate clears that drop factoryPackCount,XL,Reduce template risk,enrichment,editorial,in_progress
FR-003,P1,P1,Evidence / credibility,IN_PROGRESS,IMPROVED_PARTIAL,DV164 reconcile HO0,DV187 reconcile (+23) dashboard 189; evidence-wave-50-2026-09-10 processed 50 blocked 26; HANDS_ON 0 / NOT_CURRENT_SCOPE (not a current gate),+23 DV / HO not in current scope,315 products,Vendor fetch 403/429/timeout,Continue evidence wave on remaining 128 rejected / blocked slugs; do not enqueue human tests this phase,L,Structured-evidence coverage,vendor sources,editorial,in_progress
FR-004,P1,P1,Authority,BLOCKED_EXTERNAL,UNCHANGED,NOT_CONNECTED,Still NOT_CONNECTED — no REAL backlink export,0,sitewide,No REAL export,Drop Ahrefs/Semrush CSV under data/seo/imports/,M,Authority,export,growth,blocked_external
FR-005,P1,P1,Data freshness,BLOCKED_EXTERNAL,UNCHANGED,GSC through 2026-08-13,Identical archive; no newer Performance/Coverage/page×query; Coverage 1527 indexed still predates sitemapindex cutover,0,all opportunity reporting,No newer export,Weekly GSC+page×query export,S,Trustworthy before/after,GSC access,seo-ops,blocked_external
FR-006,P1,P1,Engineering quality,RESOLVED,RESOLVED,CLIs green this audit (guides/KG/growth/DV),CLIs green this audit (guides/sitemap-reconcile-live/seo:audit FULL www),0,CI,Prior debt cleared,Keep CI green,L,Safer deploys,eng,engineering,resolved
FR-007,P2,P2,Indexable quality,RESOLVED,RESOLVED,Guides searchIndexable 508; hard gates held,Guides searchIndexable 524; hard gates held,0,guides,Gates held,Maintain hard gates,M,Index quality,editorial,editorial+engineering,resolved
FR-008,P2,P2,Comparisons,IN_PROGRESS,IMPROVED_PARTIAL,Estate IMPROVE guides 1079 still large,Guides IMPROVE 1044; 4 lifecycle_orphan compares still fail promotion gates (alidrop/aircall),partial,compare/guide backlog,Weak pairs,Rehab remaining thin-comparison-mesh orphans; keep gates,L,Safer compares,enrichment,editorial,in_progress
FR-009,P2,P2,Internal linking,IN_PROGRESS,IMPROVED,Orphans 15/80; semantic 26853,Orphans 2/80 (−13); semantic 26856 (+3); remaining canvas-score + cohort-learning intentional,−13 orphans / +3 semantic edges,IMPROVE sample 80,Graph requireIndexable false on relatedUseCases,Keep orphan sample as KPI; do not credit contextual edge inflation,M,Discoverability,KG,seo,in_progress
FR-010,P2,P2,Commercial measurement,IN_PROGRESS,UNCHANGED,clicks REAL0; conv NOT_CONNECTED,Clicks REAL 8 STALE; conversions still NOT_CONNECTED; never show 0,0,monetization,Network export missing,Import Impact/CJ/etc CSV; do not invent,M,Commercial proof,network,growth,in_progress
FR-011,P2,P2,AI visibility,RESOLVED,RESOLVED,NOT_CONNECTED,Still NOT_CONNECTED,0,measurement,Sample only,REAL AI Visibility export,S,Honest reporting,export,seo-ops,resolved
FR-012,P0,P2,Deploy / production parity,RESOLVED,RESOLVED_FROM_P0,LIVE FAIL: sitemap 6370 monolithic vs local 3133; children 404; FULL audit P0=8,LIVE PASS: sitemapindex 3133; 15 children 200; locale/taxonomy 410; money pages 200; FULL P0=0; residual 16-URL lag tracked as FR5-020,parity NO→YES architecture,www crawl surface,Stale Vercel deploy was the R4 cause,Architecture deployed; next is FR5-020 URL-set lag,S,Live crawl safety,deploy,engineering,resolved
FR-013,P3,P3,Thin alternatives,RESOLVED,RESOLVED,Still resolved,Still resolved,0,1 URL,—,Maintain depth,S,One URL,editorial,editorial,resolved
